team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,topGoals,season
Ajax,19,27.2,53.2,6,66,540,6.0,11,9,20,10,1,1,15,1,8.3,7.5,6.3,13.8,80,234,1.83,1.50,3.33,1.67,3.17,1.39,1.04,2.43,1.26,2.30,6,6,540,16,2.67,37,21,62.2,2,0,4,1,16.7,2,2,0,0,0.0,0,3,0,14.6,0.34,-1.4,-0.24,20,101,19.8,248,29,35.9,32.8,33,36.4,38.5,85,4,4.7,5,0.83,12.4,64,22,34.4,10.67,3.67,0.16,0.45,17.6,0,0.12,+2.7,+2.5,2834,3385,83.7,48341,15879,1278,1395,91.6,1295,1447,89.5,205,396,51.8,6.2,+2.7,53,210,65,15,3106,261,64,7,19,63,103,26,11,3,0,18,42,110,18.33,93,8,2,4,2,1,20,3.33,16,1,1,1,1,0,110,60,44,50,16,63,104,60.6,41,62,15,47,53,163,109,5,4006,479,1360,1802,871,138,4005,89,39,43.8,35,39.3,2570,10632,5067,68,20,83,52,2806,231,1,78,47,18,1,2,0,293,55,84,39.6,4,2023
Atlético Madrid,22,29.4,56.5,6,66,540,6.0,4,3,7,4,0,2,11,0,9.5,7.8,5.3,13.2,111,286,0.67,0.50,1.17,0.67,1.17,1.59,0.88,2.47,1.31,2.19,6,6,540,9,1.50,27,18,70.4,1,2,3,1,16.7,1,1,0,0,0.0,0,0,0,9.9,0.33,+0.9,+0.15,17,56,30.4,99,27,30.3,31.6,43,60.5,47.3,53,3,5.7,4,0.67,13.3,95,34,35.8,15.83,5.67,0.04,0.12,18.5,4,0.08,-5.5,-3.8,3047,3674,82.9,51306,16783,1518,1661,91.4,1166,1363,85.5,282,475,59.4,4.7,-2.3,65,235,58,19,3362,292,62,6,30,151,133,39,26,6,1,20,44,168,28.00,128,9,6,13,6,6,7,1.17,6,0,0,1,0,0,85,48,38,30,17,48,79,60.8,31,81,21,60,42,127,79,2,4301,288,1098,2077,1153,148,4299,89,40,44.9,42,47.2,2849,13512,6392,104,27,86,59,3024,281,0,56,61,20,1,1,0,309,75,81,48.1,1,2023
Barcelona,26,27.2,64.8,6,66,540,6.0,12,10,22,12,0,0,9,0,9.9,9.9,8.2,18.1,167,358,2.00,1.67,3.67,2.00,3.67,1.65,1.36,3.01,1.65,3.01,6,6,540,12,2.00,30,18,63.3,2,1,3,0,0.0,1,1,0,0,0.0,0,2,0,12.6,0.40,+0.6,+0.10,25,38,65.8,165,27,17.6,25.4,36,25.0,29.3,59,1,1.7,6,1.00,18.2,90,33,36.7,15.00,5.50,0.13,0.36,16.7,2,0.11,+2.1,+2.1,3476,4033,86.2,59907,19062,1623,1796,90.4,1463,1613,90.7,323,444,72.7,10.5,+1.8,71,343,84,18,3734,291,93,15,27,154,104,40,20,15,0,8,57,166,27.67,129,10,9,5,6,7,23,3.83,20,1,0,1,0,1,94,58,31,44,19,38,69,55.1,31,60,20,40,51,145,58,3,4658,323,977,2308,1402,194,4658,128,51,39.8,65,50.8,3126,16679,8902,135,36,84,63,3448,357,0,57,70,8,0,1,0,314,69,70,49.6,5,2023
Bayern Munich,24,27.4,56.1,10,110,900,10.0,21,19,40,20,1,1,20,1,19.4,18.6,15.5,34.1,249,541,2.10,1.90,4.00,2.00,3.90,1.94,1.55,3.49,1.86,3.41,10,10,900,6,0.60,36,30,83.3,8,1,1,7,70.0,1,0,0,1,,0,1,0,10.6,0.30,+4.6,+0.46,24,62,38.7,327,45,16.8,28.3,61,11.5,22.0,113,2,1.8,7,0.70,13.4,167,72,43.1,16.70,7.20,0.12,0.28,18.2,8,0.11,+1.6,+1.4,5277,6096,86.6,92687,30813,2326,2542,91.5,2380,2622,90.8,482,702,68.7,13.5,+3.5,129,464,106,11,5665,405,107,26,33,127,182,38,23,13,1,26,75,302,30.20,238,12,24,15,9,4,39,3.90,30,2,4,3,0,0,189,118,94,69,26,80,175,45.7,95,146,34,112,120,309,131,5,7288,705,2305,3211,1838,294,7287,232,121,52.2,88,37.9,4893,25909,13199,162,64,155,114,5241,538,1,121,94,26,0,1,0,574,105,113,48.2,4,2023
Benfica,24,26.8,52.9,10,110,900,10.0,25,16,41,20,5,5,19,0,19.2,15.3,12.2,27.5,187,455,2.50,1.60,4.10,2.00,3.60,1.92,1.22,3.14,1.53,2.75,10,10,900,13,1.30,31,18,67.7,6,3,1,2,20.0,3,3,0,0,0.0,0,1,0,12.1,0.32,-0.9,-0.09,28,93,30.1,199,42,33.7,33.5,64,40.6,36.7,140,6,4.3,11,1.10,14.8,133,48,36.1,13.30,4.80,0.15,0.42,17.3,6,0.12,+5.8,+4.7,4832,5740,84.2,82686,26948,2250,2505,89.8,1877,2100,89.4,525,769,68.3,12.5,+3.8,103,373,99,18,5301,423,103,10,54,152,184,49,21,12,0,16,99,254,25.40,195,12,18,10,16,3,47,4.70,31,1,5,1,6,3,189,105,80,78,31,82,189,43.4,107,126,33,93,123,312,160,1,6874,588,1981,3198,1776,254,6869,199,99,49.7,85,42.7,4463,22971,11004,182,43,155,83,4804,449,0,103,89,16,4,3,0,537,115,143,44.6,6,2023
Celtic,22,26.8,44.2,6,66,540,6.0,3,1,4,3,0,1,7,0,9.2,8.4,6.6,14.9,98,300,0.50,0.17,0.67,0.50,0.67,1.53,1.09,2.62,1.40,2.49,6,6,540,15,2.50,31,16,58.1,0,2,4,0,0.0,2,2,0,0,0.0,0,0,0,13.3,0.40,-1.7,-0.28,7,17,41.2,142,32,9.2,24.5,32,12.5,25.3,59,0,0.0,6,1.00,19.3,82,29,35.4,13.67,4.83,0.04,0.10,18.1,1,0.10,-6.2,-5.4,2714,3217,84.4,47286,16001,1132,1275,88.8,1338,1488,89.9,187,300,62.3,7.4,-5.6,63,236,75,24,2965,248,47,8,9,121,116,32,10,8,0,4,56,141,23.50,109,10,8,8,3,3,5,0.83,3,0,0,1,1,0,89,45,35,36,18,41,81,50.6,40,78,27,51,65,154,84,2,3833,317,1046,1780,1035,141,3832,76,34,44.7,30,39.5,2677,13492,6993,76,15,79,69,2708,300,0,50,37,4,1,2,0,291,42,43,49.4,2,2023
Chelsea,26,27.7,57.3,10,110,900,10.0,12,7,19,10,2,2,24,1,16.2,14.6,11.8,26.4,211,512,1.20,0.70,1.90,1.00,1.70,1.62,1.18,2.80,1.46,2.64,10,10,900,9,0.90,37,28,75.7,5,1,4,3,30.0,0,0,0,0,,0,1,0,10.4,0.31,+1.4,+0.14,27,87,31.0,248,53,24.6,29.8,49,53.1,42.3,95,7,7.4,12,1.20,17.8,152,51,33.6,15.20,5.10,0.07,0.20,16.5,6,0.10,-4.2,-4.6,5015,5977,83.9,83375,27690,2517,2768,90.9,1953,2225,87.8,426,693,61.5,13.4,-4.8,115,418,105,16,5527,423,132,15,36,194,170,53,28,21,0,27,93,283,28.30,211,26,11,20,13,2,20,2.00,17,0,1,1,1,0,175,104,81,68,26,87,174,50.0,87,136,30,106,93,268,141,1,7105,539,1883,3368,1928,272,7103,208,89,42.8,90,43.3,5033,23433,11627,220,47,153,91,4985,510,0,137,121,27,1,0,0,597,116,109,51.6,3,2023
Club Brugge,25,27.1,45.6,8,88,720,8.0,8,7,15,7,1,2,27,1,8.0,6.4,5.2,11.7,109,239,1.00,0.87,1.87,0.87,1.75,1.00,0.65,1.65,0.80,1.46,8,8,720,11,1.37,45,34,80.0,3,2,3,5,62.5,3,2,0,1,0.0,0,0,0,15.1,0.31,+4.1,+0.51,80,155,51.6,247,30,44.9,37.0,76,57.9,40.3,112,6,5.4,5,0.63,9.6,67,20,29.9,8.37,2.50,0.10,0.35,19.3,1,0.10,0.0,+0.6,2998,3805,78.8,57815,20432,1136,1345,84.5,1341,1536,87.3,411,702,58.5,4.1,+1.8,47,193,39,10,3408,383,104,5,39,105,156,28,20,2,0,14,77,117,14.63,79,9,10,5,9,5,15,1.87,10,1,3,0,1,0,113,64,58,40,15,47,98,48.0,51,84,30,54,72,185,161,4,4651,615,1704,2088,900,105,4649,153,67,43.8,68,44.4,3048,16394,6987,77,27,93,70,2949,238,1,73,67,14,2,3,0,389,114,96,54.3,2,2023
Dinamo Zagreb,20,27.7,46.8,6,66,540,6.0,4,2,6,4,0,0,13,0,4.2,4.2,3.2,7.4,107,194,0.67,0.33,1.00,0.67,1.00,0.70,0.54,1.24,0.70,1.24,6,6,540,11,1.83,35,25,77.1,1,1,4,1,16.7,3,3,0,0,0.0,0,0,1,12.5,0.27,+2.5,+0.41,34,110,30.9,177,27,42.4,35.7,76,46.1,41.3,101,3,3.0,3,0.50,10.8,55,20,36.4,9.17,3.33,0.07,0.20,20.3,2,0.08,-0.2,-0.2,2232,2821,79.1,40331,15054,965,1099,87.8,939,1110,84.6,249,433,57.5,3.3,-1.2,41,129,37,11,2519,300,96,4,33,73,96,15,5,3,0,2,65,100,16.67,88,5,0,4,3,0,8,1.33,8,0,0,0,0,0,105,54,60,36,9,50,99,50.5,49,73,31,42,66,171,127,1,3485,538,1444,1430,643,78,3485,89,36,40.4,43,48.3,2216,11635,5843,87,15,93,69,2217,194,0,61,74,2,0,3,1,306,87,72,54.7,2,2023
Dortmund,26,26.8,47.9,8,88,720,8.0,11,10,21,11,0,0,17,0,10.5,10.5,8.8,19.3,159,300,1.37,1.25,2.62,1.37,2.62,1.31,1.10,2.41,1.31,2.41,8,8,720,7,0.87,36,28,83.3,3,3,2,3,37.5,2,1,1,0,50.0,0,1,0,11.0,0.26,+4.0,+0.50,37,96,38.5,277,30,27.4,29.3,62,32.3,32.9,121,6,5.0,13,1.63,17.1,97,27,27.8,12.12,3.38,0.11,0.41,18.5,4,0.11,+0.5,+0.5,3388,4123,82.2,57515,19809,1627,1828,89.0,1314,1486,88.4,329,552,59.6,7.3,+1.2,74,227,57,6,3758,357,102,8,54,92,151,27,8,15,0,8,71,169,21.12,130,8,16,10,4,1,21,2.62,15,1,4,1,0,0,111,67,53,42,16,50,116,43.1,66,106,31,75,89,200,136,4,5038,598,1815,2230,1047,162,5038,160,69,43.1,74,46.3,3162,16843,8732,124,45,104,71,3365,299,0,73,80,8,0,2,0,427,68,86,44.2,4,2023
Eint Frankfurt,22,26.9,43.3,8,88,720,8.0,7,5,12,6,1,1,18,2,8.0,7.3,5.5,12.8,140,258,0.87,0.62,1.50,0.75,1.37,1.01,0.69,1.69,0.91,1.59,8,8,720,13,1.62,41,27,73.2,3,1,4,2,25.0,4,2,1,1,33.3,0,0,0,14.5,0.29,+1.5,+0.19,25,99,25.3,184,33,47.8,37.2,42,26.2,28.9,81,4,4.9,5,0.63,13.0,75,26,34.7,9.37,3.25,0.08,0.23,18.1,2,0.10,-1.0,-1.3,2827,3691,76.6,47000,16909,1390,1613,86.2,1148,1409,81.5,215,490,43.9,5.0,-0.5,51,190,37,4,3310,364,107,6,20,107,168,26,14,9,1,17,68,129,16.12,96,12,6,6,6,3,12,1.50,10,1,0,1,0,0,154,88,75,66,13,66,154,42.9,88,99,17,82,85,239,129,3,4589,441,1570,2170,891,125,4588,130,44,33.8,70,53.8,2613,13679,6578,104,25,120,87,2798,256,1,109,88,17,0,4,0,501,74,89,45.4,3,2023
FC Copenhagen,25,25.4,37.7,6,66,540,6.0,1,1,2,1,0,0,12,1,4.8,4.8,3.5,8.3,73,142,0.17,0.17,0.33,0.17,0.33,0.80,0.59,1.39,0.80,1.39,6,6,540,12,2.00,38,26,71.1,0,3,3,2,33.3,2,1,1,0,50.0,0,1,1,11.6,0.26,+0.6,+0.11,32,101,31.7,145,23,45.5,36.5,44,79.5,58.6,76,8,10.5,4,0.67,13.1,54,16,29.6,9.00,2.67,0.02,0.06,17.8,3,0.09,-3.8,-3.8,1950,2478,78.7,34295,11982,866,1006,86.1,826,937,88.2,199,395,50.4,3.3,-2.5,38,127,27,6,2255,216,51,5,23,61,81,21,15,3,1,7,40,90,15.00,65,9,3,6,6,1,1,0.17,1,0,0,0,0,0,88,46,51,23,14,40,82,48.8,42,77,25,52,83,171,104,0,3102,397,1238,1273,620,97,3102,95,41,43.2,40,42.1,1371,8191,4190,52,21,64,36,1931,141,0,71,43,7,0,2,1,276,72,76,48.6,1,2023
Inter,22,29.4,45.7,12,132,"1,080",12.0,19,17,36,18,1,1,22,0,16.2,15.8,13.2,29.0,191,411,1.58,1.42,3.00,1.50,2.92,1.35,1.10,2.46,1.31,2.42,12,12,"1,080",10,0.83,53,44,81.1,7,3,2,8,66.7,0,0,0,0,,0,2,1,16.5,0.32,+7.5,+0.62,81,178,45.5,394,58,35.5,34.3,82,46.3,41.2,188,12,6.4,3,0.25,10.2,152,57,37.5,12.67,4.75,0.12,0.32,16.6,2,0.11,+2.8,+2.2,4433,5573,79.5,85512,32170,1789,2029,88.2,2025,2349,86.2,563,944,59.6,12.5,+3.8,115,319,87,28,5017,529,153,10,58,230,194,61,19,35,0,27,120,262,21.83,189,31,9,22,8,3,35,2.92,27,3,3,2,0,0,213,129,121,66,26,97,201,48.3,104,139,46,93,114,327,265,1,6910,959,2651,2760,1561,252,6909,153,73,47.7,58,37.9,3886,18839,9519,158,36,150,98,4397,407,0,150,137,27,0,0,1,586,176,166,51.5,4,2023
